Number,Algorithm,Size,Density,Time
930,BFS,170,0,8,17
931,DFS,170,0,8,17
932,BFS,170,0,8,17
933,DFS,170,0,8,17
934,BFS,170,0,8,17
935,DFS,170,0,8,17
936,BFS,170,0,8,17
937,DFS,170,0,8,17
938,BFS,170,0,8,17
939,DFS,170,0,8,17
940,BFS,170,0,8,17
941,DFS,170,0,8,17
942,BFS,170,0,8,17
943,DFS,170,0,8,18
944,BFS,170,0,8,17
945,DFS,170,0,8,17
946,BFS,170,0,8,17
947,DFS,170,0,8,17
948,BFS,170,0,8,17
949,DFS,170,0,8,17
950,BFS,170,0,8,17
951,DFS,170,0,8,17
952,BFS,170,0,8,17
953,DFS,170,0,8,17
954,BFS,170,0,8,17
955,DFS,170,0,8,17
956,BFS,170,0,8,17
957,DFS,170,0,8,18
958,BFS,170,0,8,17
959,DFS,170,0,8,17
960,BFS,170,1,17
961,DFS,170,1,17
962,BFS,170,1,17
963,DFS,170,1,17
964,BFS,170,1,17
965,DFS,170,1,17
966,BFS,170,1,17
967,DFS,170,1,17
968,BFS,170,1,17
969,DFS,170,1,17
970,BFS,170,1,17
971,DFS,170,1,18
972,BFS,170,1,17
973,DFS,170,1,17
974,BFS,170,1,17
975,DFS,170,1,17
976,BFS,170,1,17
977,DFS,170,1,17
978,BFS,170,1,17
979,DFS,170,1,17
980,BFS,170,1,17
981,DFS,170,1,17
982,BFS,170,1,17
983,DFS,170,1,17
984,BFS,170,1,17
985,DFS,170,1,17
986,BFS,170,1,17
987,DFS,170,1,17
988,BFS,170,1,17
989,DFS,170,1,17
990,BFS,170,1,17
991,DFS,170,1,18
992,BFS,170,1,17
993,DFS,170,1,17
994,BFS,170,1,17
995,DFS,170,1,17
996,BFS,170,1,17
997,DFS,170,1,17
998,BFS,170,1,17
999,DFS,170,1,17
1000,BFS,200,0,2,27
1001,DFS,200,0,2,29
1002,BFS,200,0,2,28
1003,DFS,200,0,2,28
1004,BFS,200,0,2,28
1005,DFS,200,0,2,28
1006,BFS,200,0,2,27
1007,DFS,200,0,2,28
1008,BFS,200,0,2,27
1009,DFS,200,0,2,28
1010,BFS,200,0,2,27
1011,DFS,200,0,2,32
1012,BFS,200,0,2,28
1013,DFS,200,0,2,28
1014,BFS,200,0,2,28
1015,DFS,200,0,2,28
1016,BFS,200,0,2,28
1017,DFS,200,0,2,28
1018,BFS,200,0,2,28
1019,DFS,200,0,2,28
